,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,type_of_assessment,score_text,v_type_of_assessment,v_decile_score,start,end,event,two_year_recid
569,Male,56,Greater than 45,Caucasian,0,1,0,0,4,2.0,M,1,0,Risk of Recidivism,Low,Risk of Violence,1,0,827,0,No
570,Male,29,25 - 45,African-American,0,4,0,0,2,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,5,0,819,0,No
571,Male,37,25 - 45,African-American,0,5,0,0,6,1.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,2,19,48,0,Yes
572,Male,43,25 - 45,Other,0,2,0,0,3,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,1061,0,No
573,Male,51,Greater than 45,Caucasian,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,850,0,No
574,Male,21,Less than 25,African-American,0,8,0,1,1,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,7,1,741,0,No
575,Male,26,25 - 45,African-American,0,8,1,0,4,1.0,M,1,1,Risk of Recidivism,High,Risk of Violence,9,0,50,1,Yes
576,Male,48,Greater than 45,Caucasian,0,2,0,0,1,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,72,0,No
577,Male,26,25 - 45,Caucasian,0,4,0,0,0,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,747,0,No
578,Male,46,Greater than 45,Caucasian,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,938,0,No
579,Female,30,25 - 45,Hispanic,0,2,0,0,1,3.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,1131,0,No
580,Male,24,Less than 25,African-American,0,9,1,1,7,1.0,M,0,0,Risk of Recidivism,High,Risk of Violence,7,0,333,0,No
581,Female,21,Less than 25,Caucasian,0,5,0,0,0,1.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,7,0,1067,0,No
582,Male,30,25 - 45,African-American,0,7,0,0,1,599.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,5,0,753,0,No
583,Male,36,25 - 45,African-American,0,8,0,0,9,1.0,M,0,0,Risk of Recidivism,High,Risk of Violence,2,2,363,0,No
584,Male,30,25 - 45,African-American,0,4,0,0,5,1.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,3,0,95,1,Yes
585,Female,22,Less than 25,Caucasian,0,6,0,0,1,23.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,7,0,554,0,No
586,Male,25,25 - 45,African-American,0,9,0,0,0,1.0,F,1,1,Risk of Recidivism,High,Risk of Violence,8,9,67,1,Yes
587,Male,24,Less than 25,African-American,0,4,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,5,1,424,0,No
588,Male,39,25 - 45,African-American,0,8,0,0,13,1.0,F,1,1,Risk of Recidivism,High,Risk of Violence,6,1,127,0,Yes
589,Male,46,Greater than 45,Other,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,4,75,0,No
590,Female,30,25 - 45,African-American,0,3,0,0,4,5.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,8,0,No
591,Male,40,25 - 45,Caucasian,0,2,0,0,0,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,22,1087,0,No
592,Female,52,Greater than 45,African-American,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,805,0,No
593,Male,23,Less than 25,African-American,1,9,0,1,3,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,10,33,985,0,No
594,Female,26,25 - 45,African-American,0,2,0,0,1,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,935,0,No
595,Male,42,25 - 45,Caucasian,0,4,0,0,3,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,1,1030,0,No
596,Male,28,25 - 45,African-American,0,3,0,0,1,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,1,808,0,No
597,Female,37,25 - 45,Caucasian,0,4,0,0,4,154.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,1130,0,No
598,Male,50,Greater than 45,Caucasian,0,1,0,0,1,847.0,F,1,0,Risk of Recidivism,Low,Risk of Violence,1,0,746,1,No
599,Male,32,25 - 45,African-American,0,7,0,0,1,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,2,0,762,0,No
600,Male,51,Greater than 45,African-American,0,2,0,0,3,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,793,0,No
601,Male,32,25 - 45,African-American,0,5,0,0,4,0.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,2,108,892,0,No
602,Female,29,25 - 45,African-American,0,5,0,0,1,146.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,4,0,7,0,No
603,Male,43,25 - 45,Hispanic,0,1,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,923,0,No
604,Male,26,25 - 45,African-American,0,7,0,0,9,1.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,7,10,90,0,Yes
605,Male,27,25 - 45,Hispanic,0,1,0,0,1,1123.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,760,0,No
606,Female,57,Greater than 45,Hispanic,0,2,0,0,1,8.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1054,0,No
607,Male,32,25 - 45,African-American,0,1,0,0,3,1.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,2,2,203,1,Yes
608,Female,42,25 - 45,Caucasian,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,864,0,No
609,Male,26,25 - 45,Caucasian,0,4,0,0,4,52.0,M,1,1,Risk of Recidivism,Low,Risk of Violence,4,0,781,1,No
610,Female,28,25 - 45,Caucasian,0,4,0,1,3,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,3,44,792,0,No
611,Female,53,Greater than 45,Caucasian,0,1,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,844,0,No
612,Male,24,Less than 25,Caucasian,0,2,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,1084,0,No
613,Male,28,25 - 45,Hispanic,0,2,0,0,1,9.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,1151,0,No
614,Male,28,25 - 45,Hispanic,0,5,0,0,1,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,4,1,54,0,No
615,Male,25,25 - 45,African-American,0,2,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,4,1,847,0,No
616,Male,52,Greater than 45,Caucasian,0,5,0,0,1,4696.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,3,0,953,0,No
617,Male,28,25 - 45,African-American,0,2,0,0,4,1.0,M,1,1,Risk of Recidivism,Low,Risk of Violence,3,0,20,1,Yes
618,Male,21,Less than 25,African-American,0,9,0,0,2,1.0,F,1,1,Risk of Recidivism,High,Risk of Violence,6,0,49,1,Yes
619,Male,32,25 - 45,African-American,0,10,0,0,19,1.0,F,1,1,Risk of Recidivism,High,Risk of Violence,10,14,140,1,Yes
620,Male,63,Greater than 45,African-American,0,9,0,0,3,2302.0,M,0,0,Risk of Recidivism,High,Risk of Violence,1,219,1116,0,No
621,Male,29,25 - 45,Caucasian,0,3,0,0,2,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,2,1165,0,No
622,Male,46,Greater than 45,African-American,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,923,0,No
623,Male,23,Less than 25,African-American,0,10,0,0,5,45.0,F,1,1,Risk of Recidivism,High,Risk of Violence,8,0,63,1,Yes
624,Male,27,25 - 45,African-American,0,2,0,0,1,3.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,590,0,No
625,Female,69,Greater than 45,Hispanic,0,1,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,774,0,No
626,Male,47,Greater than 45,Hispanic,0,1,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,732,0,No
627,Male,45,Greater than 45,Hispanic,0,3,0,0,1,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,127,1052,0,No
628,Female,33,25 - 45,Caucasian,0,1,0,0,1,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,798,0,No
629,Male,32,25 - 45,African-American,0,9,0,0,14,1.0,F,1,1,Risk of Recidivism,High,Risk of Violence,6,1,413,0,Yes
630,Male,24,Less than 25,African-American,0,7,0,0,2,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,5,0,317,0,No
631,Male,47,Greater than 45,Hispanic,0,4,0,0,0,4.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,907,0,No
632,Male,25,25 - 45,Caucasian,0,5,0,0,1,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,3,0,257,0,No
633,Male,21,Less than 25,African-American,0,8,0,0,1,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,7,108,860,0,No
634,Male,22,Less than 25,African-American,1,7,1,0,6,1.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,5,1,103,1,Yes
635,Female,26,25 - 45,Caucasian,0,6,0,0,0,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,6,0,1170,0,No
636,Male,20,Less than 25,Caucasian,0,4,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,6,0,752,0,No
637,Male,33,25 - 45,African-American,0,7,0,0,7,1.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,9,79,194,1,Yes
638,Male,35,25 - 45,Caucasian,0,1,0,0,2,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,787,0,No
639,Male,41,25 - 45,Caucasian,0,1,0,0,5,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,857,0,No
640,Male,23,Less than 25,Caucasian,0,3,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,5,2,1171,0,No
641,Male,54,Greater than 45,African-American,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,1133,0,No
642,Male,22,Less than 25,Caucasian,0,3,0,0,0,5.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,5,0,97,0,No
643,Male,30,25 - 45,Hispanic,0,1,0,0,1,9.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,836,0,No
644,Female,24,Less than 25,Hispanic,0,6,0,0,2,179.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,3,0,48,1,Yes
645,Male,54,Greater than 45,African-American,0,5,0,0,4,1.0,M,1,1,Risk of Recidivism,Medium,Risk of Violence,4,78,79,1,Yes
646,Male,22,Less than 25,Caucasian,0,5,0,0,2,1.0,M,1,1,Risk of Recidivism,Medium,Risk of Violence,6,13,179,1,Yes
647,Male,38,25 - 45,Caucasian,0,1,0,0,2,64.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,84,0,No
648,Male,26,25 - 45,African-American,0,4,0,0,0,1.0,M,1,1,Risk of Recidivism,Low,Risk of Violence,3,0,4,1,Yes
649,Female,20,Less than 25,African-American,0,4,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,6,0,780,0,No
650,Male,56,Greater than 45,Hispanic,0,1,0,0,0,,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1087,0,No
651,Male,29,25 - 45,African-American,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,1,209,0,No
652,Female,23,Less than 25,African-American,0,7,0,0,6,18.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,5,0,837,0,No
653,Male,35,25 - 45,African-American,0,1,0,0,1,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,8,800,0,No
654,Male,21,Less than 25,African-American,0,7,0,0,1,18.0,M,1,1,Risk of Recidivism,Medium,Risk of Violence,6,0,30,1,Yes
655,Male,25,25 - 45,Hispanic,0,3,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,6,0,906,0,No
656,Female,30,25 - 45,African-American,0,4,0,0,3,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,4,25,810,0,No
657,Male,23,Less than 25,African-American,0,7,0,0,2,1.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,6,5,530,1,Yes
658,Male,32,25 - 45,Caucasian,1,4,0,0,8,2.0,F,1,0,Risk of Recidivism,Low,Risk of Violence,4,0,877,1,No
659,Male,52,Greater than 45,Caucasian,0,1,0,0,1,111.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,771,0,No
660,Male,42,25 - 45,Caucasian,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,959,0,No
661,Female,22,Less than 25,African-American,0,3,0,0,0,2.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,816,0,No
662,Male,45,Greater than 45,Hispanic,0,1,0,0,2,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,46,1161,0,No
663,Male,29,25 - 45,African-American,0,2,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,873,0,No
664,Male,54,Greater than 45,African-American,0,2,0,0,2,1173.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,935,0,No
665,Male,30,25 - 45,African-American,0,5,0,0,6,1.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,3,2,132,0,Yes
666,Male,51,Greater than 45,African-American,0,4,0,0,17,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,891,0,No
667,Male,27,25 - 45,African-American,0,3,0,0,3,90.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,2,0,85,1,Yes
668,Male,24,Less than 25,Caucasian,0,6,0,0,2,27.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,5,0,30,0,No
669,Male,23,Less than 25,African-American,0,7,0,0,2,1.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,6,4,1152,0,No
670,Female,42,25 - 45,Other,0,3,0,0,2,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,496,0,No
671,Male,36,25 - 45,African-American,0,4,0,0,5,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,841,0,No
672,Female,38,25 - 45,African-American,0,7,1,0,8,1.0,M,1,1,Risk of Recidivism,Medium,Risk of Violence,4,0,386,1,Yes
673,Male,69,Greater than 45,Hispanic,0,1,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,732,0,No
674,Male,59,Greater than 45,Hispanic,0,1,0,0,1,7604.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1070,0,No
675,Male,39,25 - 45,African-American,0,6,0,0,1,9.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,1,0,808,0,No
676,Male,29,25 - 45,African-American,0,6,0,0,2,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,3,37,1061,0,No
677,Male,28,25 - 45,African-American,0,4,0,0,1,2183.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,6,0,775,0,No
678,Male,44,25 - 45,Caucasian,0,3,0,0,6,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1106,0,No
679,Male,25,25 - 45,African-American,0,5,0,0,2,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,6,57,744,0,No
680,Male,31,25 - 45,African-American,0,10,0,0,0,0.0,F,0,0,Risk of Recidivism,High,Risk of Violence,10,0,802,0,No
681,Male,35,25 - 45,African-American,0,7,1,0,17,1.0,M,1,1,Risk of Recidivism,Medium,Risk of Violence,2,1,39,0,Yes
682,Male,33,25 - 45,African-American,0,5,0,0,1,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,4,2,860,0,No
683,Male,20,Less than 25,African-American,1,10,0,1,1,50.0,F,1,1,Risk of Recidivism,High,Risk of Violence,10,0,24,1,Yes
684,Male,60,Greater than 45,Caucasian,0,1,0,0,1,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,760,0,No
685,Male,53,Greater than 45,Hispanic,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,803,0,No
686,Male,25,25 - 45,Hispanic,0,2,0,0,1,106.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,842,0,No
687,Male,27,25 - 45,African-American,2,7,1,0,5,168.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,8,0,75,1,Yes
688,Female,54,Greater than 45,African-American,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,837,0,No
689,Female,26,25 - 45,African-American,0,5,0,1,3,7.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,5,0,813,0,No
690,Male,24,Less than 25,Caucasian,1,4,2,0,3,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,5,1,758,0,No
691,Male,26,25 - 45,Hispanic,0,3,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,1,49,0,No
692,Female,75,Greater than 45,African-American,0,1,0,0,5,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,974,0,No
693,Male,56,Greater than 45,African-American,0,3,0,0,8,106.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,864,0,No
694,Male,46,Greater than 45,Caucasian,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1103,0,No
695,Male,27,25 - 45,African-American,0,2,0,0,1,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,5,7,1168,0,No
696,Male,24,Less than 25,African-American,0,6,0,0,1,458.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,6,0,787,0,No
697,Male,59,Greater than 45,African-American,0,1,0,0,2,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1068,0,No
698,Male,39,25 - 45,Caucasian,0,1,0,0,1,15.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,833,0,No
699,Male,46,Greater than 45,Caucasian,0,4,0,0,5,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,11,1078,0,No
700,Male,25,25 - 45,Other,0,2,0,0,1,11.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,1172,0,No
701,Male,55,Greater than 45,Caucasian,0,1,0,0,2,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,925,0,No
702,Male,43,25 - 45,African-American,0,1,0,0,0,1.0,M,1,1,Risk of Recidivism,Low,Risk of Violence,1,0,256,1,Yes
703,Female,53,Greater than 45,Caucasian,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,785,0,No
704,Female,21,Less than 25,African-American,0,5,0,0,0,1.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,6,0,826,0,No
705,Male,40,25 - 45,African-American,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,1089,0,No
706,Female,37,25 - 45,Caucasian,0,1,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,755,0,No
707,Male,32,25 - 45,African-American,0,2,0,0,2,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,1,965,0,No
708,Male,22,Less than 25,Hispanic,0,3,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,5,0,422,0,No
709,Female,31,25 - 45,African-American,0,8,0,0,0,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,5,1,927,0,No
710,Male,47,Greater than 45,African-American,0,3,0,0,4,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,1098,0,No
711,Male,36,25 - 45,African-American,0,3,0,0,2,2.0,F,1,0,Risk of Recidivism,Low,Risk of Violence,1,0,491,0,No
712,Female,38,25 - 45,Caucasian,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,875,0,No
713,Male,35,25 - 45,Other,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,750,0,No
714,Male,53,Greater than 45,Caucasian,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,837,0,No
715,Male,53,Greater than 45,African-American,0,3,0,0,2,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1118,0,No
716,Male,57,Greater than 45,African-American,0,7,0,0,19,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,4,117,892,0,No
717,Male,21,Less than 25,African-American,0,10,0,0,0,5.0,F,1,1,Risk of Recidivism,High,Risk of Violence,9,0,51,1,Yes
718,Female,24,Less than 25,African-American,0,3,0,0,1,35.0,F,1,0,Risk of Recidivism,Low,Risk of Violence,4,0,279,0,No
719,Male,27,25 - 45,African-American,0,5,0,0,2,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,4,20,782,0,No
720,Female,49,Greater than 45,Caucasian,0,5,0,0,4,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,1,4,1042,0,No
721,Male,47,Greater than 45,Caucasian,0,3,0,0,1,1.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,1,0,528,1,Yes
722,Male,44,25 - 45,Caucasian,0,1,0,0,3,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1098,0,No
723,Male,34,25 - 45,African-American,0,1,0,0,1,17.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1026,0,No
724,Male,38,25 - 45,Hispanic,0,4,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,5,0,840,0,No
725,Male,50,Greater than 45,Caucasian,0,1,0,0,2,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1184,0,No
726,Male,29,25 - 45,Caucasian,0,6,0,0,1,1.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,4,0,745,0,No
727,Male,26,25 - 45,Caucasian,0,4,0,0,0,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,1070,0,No
728,Male,44,25 - 45,Hispanic,0,1,0,0,2,870.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,854,0,No
729,Male,47,Greater than 45,Hispanic,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,1092,0,No
730,Male,49,Greater than 45,Caucasian,0,1,0,0,0,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,867,0,No
731,Male,49,Greater than 45,African-American,0,3,0,0,1,0.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,1,19,76,1,Yes
732,Male,59,Greater than 45,Caucasian,0,1,0,0,2,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,13,1107,0,No
733,Male,32,25 - 45,Caucasian,0,5,0,0,6,30.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,4,0,861,0,No
734,Male,24,Less than 25,African-American,0,2,0,2,1,1.0,M,1,1,Risk of Recidivism,Low,Risk of Violence,4,0,387,1,Yes
735,Male,40,25 - 45,Hispanic,0,2,0,0,0,3.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,816,0,No
736,Male,32,25 - 45,African-American,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,1154,0,No
737,Female,54,Greater than 45,Hispanic,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1047,0,No
738,Male,27,25 - 45,African-American,0,10,0,1,9,0.0,F,1,1,Risk of Recidivism,High,Risk of Violence,5,0,28,1,Yes
739,Female,40,25 - 45,Hispanic,0,1,0,0,1,93.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1144,0,No
740,Male,25,25 - 45,Caucasian,0,8,0,0,2,0.0,M,0,0,Risk of Recidivism,High,Risk of Violence,4,12,525,0,No
741,Male,34,25 - 45,African-American,0,6,0,0,1,1625.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,7,0,1101,0,No
742,Male,37,25 - 45,African-American,2,9,0,0,18,27.0,M,0,0,Risk of Recidivism,High,Risk of Violence,9,0,51,0,No
743,Male,23,Less than 25,African-American,0,6,0,0,1,0.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,6,1,278,0,Yes
744,Female,20,Less than 25,African-American,0,8,0,0,0,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,7,0,740,0,No
745,Male,29,25 - 45,Caucasian,0,7,0,0,7,67.0,M,1,1,Risk of Recidivism,Medium,Risk of Violence,6,0,99,1,Yes
746,Male,24,Less than 25,African-American,0,2,0,0,1,60.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,914,0,No
747,Female,54,Greater than 45,Caucasian,0,3,0,0,1,49.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,815,0,No
748,Male,66,Greater than 45,African-American,0,1,0,0,3,37.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,101,0,No
749,Male,50,Greater than 45,Caucasian,0,2,0,0,8,14.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,5,0,1099,0,No
750,Male,50,Greater than 45,African-American,0,2,0,0,7,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1151,0,No
751,Male,40,25 - 45,Caucasian,0,1,0,0,3,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1077,0,No
752,Female,30,25 - 45,African-American,0,7,0,0,4,543.0,M,1,1,Risk of Recidivism,Medium,Risk of Violence,6,0,213,1,Yes
753,Female,24,Less than 25,Caucasian,0,7,0,0,2,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,5,1,170,0,No
754,Female,23,Less than 25,African-American,0,5,0,0,3,1.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,3,0,14,1,Yes
755,Male,25,25 - 45,Caucasian,0,10,0,2,4,4.0,M,0,0,Risk of Recidivism,High,Risk of Violence,7,0,150,0,No
756,Male,46,Greater than 45,Caucasian,0,1,0,0,1,2.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,980,0,No
757,Female,35,25 - 45,Hispanic,0,8,0,0,10,40.0,F,0,0,Risk of Recidivism,High,Risk of Violence,5,0,851,0,No
758,Male,25,25 - 45,Other,0,5,0,0,1,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,3,265,1179,0,No
759,Female,22,Less than 25,Caucasian,0,3,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,913,0,No
760,Female,32,25 - 45,Caucasian,0,2,0,0,1,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,840,0,No
761,Male,30,25 - 45,African-American,0,5,0,0,10,198.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,7,0,92,0,No
762,Male,33,25 - 45,African-American,0,5,0,0,4,1.0,M,1,1,Risk of Recidivism,Medium,Risk of Violence,6,1,65,1,Yes
763,Male,24,Less than 25,African-American,0,2,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,1184,0,No
764,Male,37,25 - 45,Caucasian,0,2,0,0,0,2.0,M,1,0,Risk of Recidivism,Low,Risk of Violence,1,0,739,1,No
765,Female,40,25 - 45,Caucasian,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,815,0,No
766,Male,27,25 - 45,Caucasian,0,10,0,0,1,409.0,F,0,0,Risk of Recidivism,High,Risk of Violence,10,0,506,0,No
